Related article title	Journal	DOI	Data Descriptor title	Data Descriptor DOI	Data Descriptor year	Data Descriptor month
Single-Synapse Analysis of a Diverse Synapse Population: Proteomic Imaging Methods and Markers	Neuron	10.1016/j.neuron.2010.09.024	Synaptic molecular imaging in spared and deprived columns of mouse barrel cortex with array tomography	10.1038/sdata.2014.46	2014	12
Movement Error Rate for Evaluation of Machine Learning Methods for sEMG-Based Hand Movement Classification	IEEE Transactions on Neural Systems and Rehabilitation Engineering	10.1109/TNSRE.2014.2303394	Electromyography data for non-invasive naturally-controlled robotic hand prostheses	10.1038/sdata.2014.53	2014	12
Global conservation outcomes depend on marine protected areas with five key features	Nature	10.1038/nature13022	Systematic global assessment of reef fish communities by the Reef Life Survey program	10.1038/sdata.2014.7	2014	5
Integrating abundance and functional traits reveals new global hotspots of fish diversity	Nature	10.1038/nature12529	Systematic global assessment of reef fish communities by the Reef Life Survey program	10.1038/sdata.2014.7	2014	5
C/EBPα poises B cells for rapid reprogramming into induced pluripotent stem cells	Nature	10.1038/nature12885	Time-resolved gene expression profiling during reprogramming of C/EBPα-pulsed B cells into iPS cells	10.1038/sdata.2014.8	2014	5
A Parametric Empirical Bayesian Framework for the EEG/MEG Inverse Problem: Generative Models for Multi-Subject and Multi-Modal Integration	Frontiers in Human Neuroscience	10.3389/fnhum.2011.00076	A multi-subject, multi-modal human neuroimaging dataset	10.1038/sdata.2015.1	2015	1
The DNA-binding network of Mycobacterium tuberculosis	Nature Communications	10.1038/ncomms6829	A comprehensive map of genome-wide gene regulation in Mycobacterium tuberculosis	10.1038/sdata.2015.10	2015	3
Mapping and manipulating the Mycobacterium tuberculosis transcriptome using a transcription factor overexpression-derived regulatory network	Genome Biology	10.1186/s13059-014-0502-3	A comprehensive map of genome-wide gene regulation in Mycobacterium tuberculosis	10.1038/sdata.2015.10	2015	3
Large-scale whole-genome sequencing of the Icelandic population	Nature Genetics	10.1038/ng.3247	Sequence variants from whole genome sequencing a large group of Icelanders	10.1038/sdata.2015.11	2015	3
Defining the relationship between infection prevalence and clinical incidence of Plasmodium falciparum malaria	Nature Communications	10.1038/ncomms9170	Global database of matched Plasmodium falciparum and P. vivax incidence and prevalence records from 1985–2013	10.1038/sdata.2015.12	2015	8
Defining the relationship between Plasmodium vivax parasite rate and clinical disease	Malaria Journal	10.1186/s12936-015-0706-3	Global database of matched Plasmodium falciparum and P. vivax incidence and prevalence records from 1985–2013	10.1038/sdata.2015.12	2015	8
Comparison of single-molecule sequencing and hybrid approaches for finishing the genome of Clostridium autoethanogenum and analysis of CRISPR systems in industrial relevant Clostridia	Biotechnology for Biofuels	10.1186/1754-6834-7-40	Sequence data for Clostridium autoethanogenum using three generations of sequencing technologies	10.1038/sdata.2015.14	2015	4
Spatial regulation dominates gene function in the ganglia chain	Bioinformatics	10.1093/bioinformatics/btt570	De novo transcriptome assembly databases for the central nervous system of the medicinal leech	10.1038/sdata.2015.15	2015	4
Synchronization between EMG at Different Uterine Locations Investigated Using Time-Frequency Ridge Reconstruction: Comparison of Pregnancy and Labor Contractions	EURASIP Journal on Advances in Signal Processing	10.1155/2010/242493	The Icelandic 16-electrode electrohysterogram database	10.1038/sdata.2015.17	2015	4
Interactions between Uterine EMG at Different Sites Investigated Using Wavelet Analysis: Comparison of Pregnancy and Labor Contractions	EURASIP Journal on Advances in Signal Processing	10.1155/2010/918012	The Icelandic 16-electrode electrohysterogram database	10.1038/sdata.2015.17	2015	4
Comparison between approximate entropy, correntropy and time reversibility: Application to uterine electromyogram signals	Medical Engineering & Physics	10.1016/j.medengphy.2011.03.010	The Icelandic 16-electrode electrohysterogram database	10.1038/sdata.2015.17	2015	4
Effect of decimation on the classification rate of non-linear analysis methods applied to uterine EMG signals	IRBM	10.1016/j.irbm.2013.07.010	The Icelandic 16-electrode electrohysterogram database	10.1038/sdata.2015.17	2015	4
The missense of smell: functional variability in the human odorant receptor repertoire	Nature Neuroscience	10.1038/nn.3598	Human olfactory receptor responses to odorants	10.1038/sdata.2015.2	2015	2
Proteogenomic characterization of human colon and rectal cancer	Nature	10.1038/nature13438	Proteomic analysis of colon and rectal carcinoma using standard and customized databases	10.1038/sdata.2015.22	2015	6
Environmental characteristics of Agulhas rings affect interocean plankton transport	Science	10.1126/science.1261447	Open science resources for the discovery and analysis of Tara Oceans data	10.1038/sdata.2015.23	2015	5
Structure and function of the global ocean microbiome	Science	10.1126/science.1261359	Open science resources for the discovery and analysis of Tara Oceans data	10.1038/sdata.2015.23	2015	5
Determinants of community structure in the global plankton interactome	Science	10.1126/science.1262073	Open science resources for the discovery and analysis of Tara Oceans data	10.1038/sdata.2015.23	2015	5
Eukaryotic plankton diversity in the sunlit ocean	Science	10.1126/science.1261605	Open science resources for the discovery and analysis of Tara Oceans data	10.1038/sdata.2015.23	2015	5
Patterns and ecological drivers of ocean viral communities	Science	10.1126/science.1261498	Open science resources for the discovery and analysis of Tara Oceans data	10.1038/sdata.2015.23	2015	5
Large-scale evaluation of ANTs and FreeSurfer cortical thickness measurements	NeuroImage	10.1016/j.neuroimage.2014.05.044	The pediatric template of brain perfusion	10.1038/sdata.2015.3	2015	2
The organization of the human cerebral cortex estimated by intrinsic functional connectivity	Journal of Neurophysiology	10.1152/jn.00338.2011	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
The organization of the human cerebellum estimated by intrinsic functional connectivity	Journal of Neurophysiology	10.1152/jn.00339.2011	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
The organization of the human striatum estimated by intrinsic functional connectivity	Journal of Neurophysiology	10.1152/jn.00270.2012	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
Individual Differences in Amygdala-Medial Prefrontal Anatomy Link Negative Affect, Impaired Social Functioning, and Polygenic Depression Risk	Journal of Neuroscience	10.1523/JNEUROSCI.2531-12.2012	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
The influence of head motion on intrinsic functional connectivity MRI	NeuroImage	10.1016/j.neuroimage.2011.07.044	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
Disruption of Cortical Association Networks in Schizophrenia and Psychotic Bipolar Disorder	JAMA Psychiatry	10.1001/jamapsychiatry.2013.3469	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
Neurobiological basis of head motion in brain imaging	Proceedings of the National Academy of Sciences	10.1073/pnas.1317424111	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
Cerebellar asymmetry and its relation to cerebral asymmetry estimated by intrinsic functional connectivity	Journal of Neurophysiology	10.1152/jn.00598.2012	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
Estimates of segregation and overlap of functional connectivity networks in the human cerebral cortex	NeuroImage	10.1016/j.neuroimage.2013.10.046	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
Reconfigurable task-dependent functional coupling modes cluster around a core functional architecture	Philosophical Transactions of the Royal Society B: Biological Sciences	10.1098/rstb.2013.0526	Brain Genomics Superstruct Project initial data release with structural, functional, and behavioral measures	10.1038/sdata.2015.31	2015	7
The ChEMBL bioactivity database: an update	Nucleic Acids Research	10.1093/nar/gkt1031	A large-scale crop protection bioassay data set	10.1038/sdata.2015.32	2015	7
High-resolution aquifer analog of fluvial–aeolian sediments of the Guarani aquifer system	Environmental Earth Sciences	10.1007/s12665-013-2684-5	High resolution multi-facies realizations of sedimentary reservoir and aquifer analogs	10.1038/sdata.2015.33	2015	7
Three-dimensional high resolution fluvio-glacial aquifer analog: Part 1: Field study	Journal of Hydrology	10.1016/j.jhydrol.2011.03.038	High resolution multi-facies realizations of sedimentary reservoir and aquifer analogs	10.1038/sdata.2015.33	2015	7
The global distribution of the arbovirus vectors Aedes aegypti and Ae. albopictus	eLife	10.7554/eLife.08347	The global compendium of Aedes aegypti and Ae. albopictus occurrence	10.1038/sdata.2015.35	2015	7
Increasing CO2 threatens human nutrition	Nature	10.1038/nature13179	Impacts of elevated atmospheric CO2 on nutrient content of important food crops	10.1038/sdata.2015.36	2015	7
Spring Phenology: Nature's Experiment to Detect the Effect of “Green-Up” on Surface Maximum Temperatures	Monthly Weather Review	10.1175/1520-0493(1990)118<0883:SPNETD>2.0.CO;2	Lilac and honeysuckle phenology data 1956–2014	10.1038/sdata.2015.38	2015	7
Testing a growth efficiency hypothesis with continental-scale phenological variations of common and cloned plants	International Journal of Biometeorology	10.1007/s00484-013-0691-6	Lilac and honeysuckle phenology data 1956–2014	10.1038/sdata.2015.38	2015	7
Spring onset variations and trends in the continental United States: past and regional assessment using temperature-based indices	International Journal of Climatology	10.1002/joc.3625	Lilac and honeysuckle phenology data 1956–2014	10.1038/sdata.2015.38	2015	7
Landscape phenology: an integrative approach to seasonal vegetation dynamics	Landscape Ecology	10.1007/s10980-009-9328-x	Lilac and honeysuckle phenology data 1956–2014	10.1038/sdata.2015.38	2015	7
Onset of spring starting earlier across the Northern Hemisphere	Global Change Biology	10.1111/j.1365-2486.2005.01097.x	Lilac and honeysuckle phenology data 1956–2014	10.1038/sdata.2015.38	2015	7
Multi-temporal mapping of seagrass cover, species and biomass: A semi-automated object based image analysis approach	Remote Sensing of Environment	10.1016/j.rse.2014.05.001	Field data sets for seagrass biophysical properties for the Eastern Banks, Moreton Bay, Australia, 2004–2014	10.1038/sdata.2015.40	2015	8
A Long-Term Hydrologically Based Dataset of Land Surface Fluxes and States for the Conterminous United States: Update and Extensions	Journal of Climate	10.1175/JCLI-D-12-00508.1	A spatially comprehensive, hydrometeorological data set for Mexico, the U.S., and Southern Canada 1950–2013	10.1038/sdata.2015.42	2015	8
Reduced caudate volume and enhanced striatal-DMN integration in chess experts	NeuroImage	10.1016/j.neuroimage.2012.01.047	A multimodal MRI dataset of professional chess players	10.1038/sdata.2015.44	2015	9
Large-Scale Brain Networks in Board Game Experts: Insights from a Domain-Related Task and Task-Free Resting State	PLoS ONE	10.1371/journal.pone.0032532	A multimodal MRI dataset of professional chess players	10.1038/sdata.2015.44	2015	9
Functional organization of intrinsic connectivity networks in Chinese-chess experts	Brain Research	10.1016/j.brainres.2014.02.033	A multimodal MRI dataset of professional chess players	10.1038/sdata.2015.44	2015	9
Quantitative system drift compensates for altered maternal inputs to the gap gene network of the scuttle fly Megaselia abdita	eLife	10.7554/eLife.04785	High-resolution gene expression data from blastoderm embryos of the scuttle fly Megaselia abdita	10.1038/sdata.2015.5	2015	3
The long intergenic noncoding RNA landscape of human lymphocytes highlights the regulation of T cell differentiation by linc-MAF-4	Nature Immunology	10.1038/ni.3093	De novo transcriptome profiling of highly purified human lymphocytes primary cells	10.1038/sdata.2015.51	2015	9
Characterizations of how species mediate ecosystem properties require more comprehensive functional effect descriptors	Scientific Reports	10.1038/srep06463	High-resolution computed tomography reconstructions of invertebrate burrow systems	10.1038/sdata.2015.52	2015	9
Identifying and Mapping Connectivity Patterns of Brain Network Hubs in Alzheimer's Disease	Cerebral Cortex	10.1093/cercor/bhu246	A connectivity-based test-retest dataset of multi-modal magnetic resonance imaging in young healthy adults	10.1038/sdata.2015.56	2015	10
Test-Retest Reliability of Graph Metrics in High-resolution Functional Connectomics: A Resting-State Functional MRI Study	CNS Neuroscience & Therapeutics	10.1111/cns.12431	A connectivity-based test-retest dataset of multi-modal magnetic resonance imaging in young healthy adults	10.1038/sdata.2015.56	2015	10
Convergence and divergence across construction methods for human brain white matter networks: An assessment based on individual differences	Human Brain Mapping	10.1002/hbm.22751	A connectivity-based test-retest dataset of multi-modal magnetic resonance imaging in young healthy adults	10.1038/sdata.2015.56	2015	10
GRETNA: a graph theoretical network analysis toolbox for imaging connectomics	Frontiers in Human Neuroscience	10.3389/fnhum.2015.00386	A connectivity-based test-retest dataset of multi-modal magnetic resonance imaging in young healthy adults	10.1038/sdata.2015.56	2015	10
Continued Impact of Pneumococcal Conjugate Vaccine on Carriage in Young Children	PEDIATRICS	10.1542/peds.2008-3099	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
Antibiotic-Resistant Streptococcus pneumoniae in the Heptavalent Pneumococcal Conjugate Vaccine Era: Predictors of Carriage in a Multicommunity Sample	PEDIATRICS	10.1542/peds.112.4.862	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
Post-PCV7 Changes in Colonizing Pneumococcal Serotypes in 16 Massachusetts Communities, 2001 and 2004	PEDIATRICS	10.1542/peds.2004-2338	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
A multilocus sequence typing scheme for Streptococcus pneumoniae: identification of clones associated with serious invasive disease	Microbiology	10.1099/00221287-144-11-3049	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
Diversity and Antibiotic Resistance among Nonvaccine Serotypes ofStreptococcus pneumoniaeCarriage Isolates in the Post–Heptavalent Conjugate Vaccine Era	The Journal of Infectious Diseases	10.1086/510249	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
Clonal replacement among 19A Streptococcus pneumoniae in Massachusetts, prior to 13 valent conjugate vaccination	Vaccine	10.1016/j.vaccine.2011.09.075	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
Population genomics of post-vaccine changes in pneumococcal epidemiology	Nature Genetics	10.1038/ng.2625	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
Diversification of bacterial genome content through distinct mechanisms over different timescales	Nature Communications	10.1038/ncomms6471	Population genomic datasets describing the post-vaccine evolutionary epidemiology of Streptococcus pneumoniae	10.1038/sdata.2015.58	2015	10
Land Cover and Topography Affect the Land Transformation Caused by Wind Facilities	PLoS ONE	10.1371/journal.pone.0088914	Onshore industrial wind turbine locations for the United States up to March 2014	10.1038/sdata.2015.60	2015	11
Climate change adaptation plan for Australian birds	Australasian Journal of Environmental Management	10.1080/14486563.2015.1042130	Biological, ecological, conservation and legal information for all species and subspecies of Australian bird	10.1038/sdata.2015.61	2015	11
Coherent control of radiation patterns of nonlinear multiphoton processes in nanoparticles	Scientific Reports	10.1038/srep12040	Dataset on coherent control of fields and induced currents in nonlinear multiphoton processes in a nanosphere	10.1038/sdata.2015.64	2015	11
A global satellite-assisted precipitation climatology	Earth System Science Data	10.5194/essd-7-275-2015	The climate hazards infrared precipitation with stations—a new environmental record for monitoring extremes	10.1038/sdata.2015.66	2015	12
Phylogenetic skew: an index of community diversity	Molecular Ecology	10.1111/mec.13064	Long-term monitoring dataset of fish assemblages impinged at nuclear power plants in northern Taiwan	10.1038/sdata.2015.71	2015	12
Heterotic Haplotype Capture: precision breeding for hybrid performance	Trends in Plant Science	10.1016/j.tplants.2015.04.013	Species-wide genome sequence and nucleotide polymorphisms from the model allopolyploid plant Brassica napus	10.1038/sdata.2015.72	2015	12
Genetic Design and Statistical Power of Nested Association Mapping in Maize	Genetics	10.1534/genetics.107.074245	Species-wide genome sequence and nucleotide polymorphisms from the model allopolyploid plant Brassica napus	10.1038/sdata.2015.72	2015	12
Sea Surface Temperature of the mid-Piacenzian Ocean: A Data-Model Comparison	Scientific Reports	10.1038/srep02013	A global planktic foraminifer census data set for the Pliocene ocean	10.1038/sdata.2015.76	2015	12
Mid-Pliocene planktic foraminifer assemblage of the North Atlantic Ocean	Micropaleontology	10.2113/gsmicropal.53.1-2.105	A global planktic foraminifer census data set for the Pliocene ocean	10.1038/sdata.2015.76	2015	12
Pliocene sea surface temperatures of the north atlantic ocean at 3.0 Ma	Quaternary Science Reviews	10.1016/0277-3791(91)90018-P	A global planktic foraminifer census data set for the Pliocene ocean	10.1038/sdata.2015.76	2015	12
Assessing confidence in Pliocene sea surface temperatures to evaluate predictive models	Nature Climate Change	10.1038/nclimate1455	A global planktic foraminifer census data set for the Pliocene ocean	10.1038/sdata.2015.76	2015	12
Surface temperatures of the Mid-Pliocene North Atlantic Ocean: implications for future climate	Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences	10.1098/rsta.2008.0213	A global planktic foraminifer census data set for the Pliocene ocean	10.1038/sdata.2015.76	2015	12
A 7-month cigarette smoke inhalation study in C57BL/6 mice demonstrates reduced lung inflammation and emphysema following smoking cessation or aerosol exposure from a prototypic modified risk tobacco product	Food and Chemical Toxicology	10.1016/j.fct.2015.03.009	Comprehensive systems biology analysis of a 7-month cigarette smoke inhalation study in C57BL/6 mice	10.1038/sdata.2015.77	2016	1
The high-throughput highway to computational materials design	Nature Materials	10.1038/nmat3568	Charting the complete elastic properties of inorganic crystalline compounds	10.1038/sdata.2015.9	2015	3
Dense EM-based reconstruction of the interglomerular projectome in the zebrafish olfactory bulb	Nature Neuroscience	10.1038/nn.4290	3-dimensional electron microscopic imaging of the zebrafish olfactory bulb and dense reconstruction of neurons	10.1038/sdata.2016.100	2016	11
Factors regulating capillary remodeling in a reversible model of inflammatory corneal angiogenesis	Scientific Reports	10.1038/srep32137	A microarray whole-genome gene expression dataset in a rat model of inflammatory corneal angiogenesis	10.1038/sdata.2016.103	2016	11
The Asian arowana (Scleropages formosus) genome provides new insights into the evolution of an early lineage of teleosts	Scientific Reports	10.1038/srep24501	A chromosome-level genome assembly of the Asian arowana, Scleropages formosus	10.1038/sdata.2016.105	2016	12
Mapping the Pairwise Choices Leading from Pluripotency to Human Bone, Heart, and Other Mesoderm Cell Types	Cell	10.1016/j.cell.2016.06.011	An atlas of transcriptional, chromatin accessibility, and surface marker changes in human mesoderm development	10.1038/sdata.2016.109	2016	12
Predicting risky choices from brain activity patterns	Proceedings of the National Academy of Sciences	10.1073/pnas.1321728111	A phenome-wide examination of neural and cognitive function	10.1038/sdata.2016.110	2016	12
Neural activation during response inhibition in adult attention-deficit/hyperactivity disorder: Preliminary findings on the effects of medication and symptom severity	Psychiatry Research: Neuroimaging	10.1016/j.pscychresns.2014.02.002	A phenome-wide examination of neural and cognitive function	10.1038/sdata.2016.110	2016	12
Differences in neural activation as a function of risk-taking task parameters	Frontiers in Neuroscience	10.3389/fnins.2013.00173	A phenome-wide examination of neural and cognitive function	10.1038/sdata.2016.110	2016	12
Neural mechanisms of response inhibition and impulsivity in 22q11.2 deletion carriers and idiopathic attention deficit hyperactivity disorder	NeuroImage: Clinical	10.1016/j.nicl.2015.08.006	A phenome-wide examination of neural and cognitive function	10.1038/sdata.2016.110	2016	12
Neural Substrates of Inhibitory Control Deficits in 22q11.2 Deletion Syndrome†	Cerebral Cortex	10.1093/cercor/bht304	A phenome-wide examination of neural and cognitive function	10.1038/sdata.2016.110	2016	12
Default mode network connectivity and reciprocal social behavior in 22q11.2 deletion syndrome	Social Cognitive and Affective Neuroscience	10.1093/scan/nst114	A phenome-wide examination of neural and cognitive function	10.1038/sdata.2016.110	2016	12
In silico Mapping of Protein Unfolding Mutations for Inherited Disease	Scientific Reports	10.1038/srep37298	Dataset of eye disease-related proteins analyzed using the unfolding mutation screen	10.1038/sdata.2016.112	2016	12
The resveratrol-enriched rice DJ526 boosts motor coordination and physical strength	Scientific Reports	10.1038/srep23958	Gene expression profiles and physiological data from mice fed resveratrol-enriched rice DJ526	10.1038/sdata.2016.114	2016	12
